genero;tipo_alunoa;formacao;nome_curso;faixa_etaria;comp;tipo_comp;sis_op_comp;fabrica_comp;lingua_dados;lingua_prog;expectativa 
Masculino;Pós-graduação;Tecnologia;Midia e Tecnologia;Entre 25 e 29 anos;Sim;Laptop;Outro;Multilaser;Sim;Python;Espero aprender a base sobre o assunto de 'Ciência de Dados', os primeiros passos e principais pilares e/ou práticas da área.
Feminino;Pós-graduação;Tecnologia;Midia e Tecnologia;Entre 25 e 29 anos;Sim;Laptop;Windows;HP;Sim;Linguagem R;Me aprofundar no R
Masculino;Pós-graduação;Ciências Contábeis;Midia e Tecnologia;Entre 30 e 34 anos;Sim;Laptop;Windows;Acer;Não;Nenhuma;Proporcionar um entendimento de conceitos e técnicas fundamentais, para análise de grandes volumes de dados, modelagem estatística, visualização de dados, interpretar dados de forma crítica e tomar decisões baseadas em evidências e aplicação prática através de ferramentas e métodos de análise de dados em diferentes contextos.
Masculino;Pós-graduação;Ciência da Computação;Midia e Tecnologia;Entre 40 e 44 anos;Sim;Desktop, Laptop;Windows;Lenovo;Não;Nenhuma;Pretendo entender um pouco mais sobre a analise de dados e como posso utilizar os conhecimentos adquiridos para busca de informação mais precisa. Bem como aperfeiçoar meu conhecimento em mineração de dados 
Feminino;Pós-graduação;Artes Visuais;Midia e Tecnologia;Entre 22 e 24 anos;Sim;Laptop;Windows;Dell;Não;Nenhuma;Conhecer mais sobre Ciência de Dados e possivelmente aplicá-la de alguma forma em minha pesquisa, principalmente no quesito Análise Exploratória que foi comentado na apresentação da disciplina.
Masculino;Graduação;Ensino Médio e Técnico;Sistemas de Informação;Entre 18 e 21 anos;Sim;Laptop;Windows;Acer;Sim;Python;Aprofundar meu conhecimento em análise de dados 
Masculino;Pós-graduação;Comunicação Social;Midia e Tecnologia;Entre 22 e 24 anos;Sim;Laptop;Windows;Acer;Não;Nenhuma;Entender como sistematizar e operar dados quanti e qualitativos de forma que possa agregar ao meu projeto da pós-graduação.
Masculino;Pós-graduação;Tecnologia;Midia e Tecnologia;Entre 25 e 29 anos;Sim;Desktop, Laptop;Windows;Avell;Não;Nenhuma;Sou da área de T.I
Masculino;Pós-graduação;Tecnologia;Midia e Tecnologia;Entre 35 e 39 anos;Sim;Laptop;Windows;Acer;Não;Nenhuma;Aprender técnicas e conceitos na área de ciência de dados.
Masculino;Pós-graduação;Tecnologia;Midia e Tecnologia;Entre 50 e 59 anos;Sim;Desktop, Laptop;Windows;Dell;Não;Nenhuma;Adquirir conhecimento na área de Ciência de Dados
Masculino;Pós-graduação;Administração ;Midia e Tecnologia;Entre 30 e 34 anos;Sim;Laptop;Windows;Lenovo;Não;Nenhuma;Entender melhor sobre a ciência de dados e suas ferramentas de aplicação
Masculino;Pós-graduação;Mestrado;Midia e Tecnologia;Entre 40 e 44 anos;Sim;Desktop, Laptop;Windows;Samsung;Sim;Python;Aprender
Masculino;Graduação;Ensino Médio;Ciência da Computação;Entre 22 e 24 anos;Sim;Laptop;Windows;Lenovo;Sim;Python;Aprender a aplicar as técnicas de Ciência da Dados em problemas práticos
Masculino;Pós-graduação;Informática ;Sistemas de Informação;Entre 45 e 49 anos;Sim;Desktop;Windows;Acer;Sim;Linguagem R;Complementar conhecimentos para minha pesquisa
Masculino;Pós-graduação;Sistemas de Informação ;Midia e Tecnologia;Entre 50 e 59 anos;Sim;Laptop;Windows;Dell;Não;Nenhuma;Minha expectativa para esta disciplina é obter conhecimento sobre mineração e gerenciamento de dados.
Masculino;Graduação;Ensino Médio;Sistemas de Informação;Entre 22 e 24 anos;Sim;Laptop;Windows;Lenovo;Não;Nenhuma;Desenvolver uma visão mais analítica em relação aos dados, assim como adquirir conhecimentos em uma nova linguagem de programação que me permita tomar decisões fundamentadas em dados concretos, em vez de basear-me apenas em suposições.
Masculino;Graduação;Ensino Médio;Ciência da Computação;Entre 18 e 21 anos;Não;Não possuo computador;Windows;Acer;Sim;Python;Espero conseguir aprimorar e descobrir novas habilidades no meio da área de dados
Masculino;Graduação;Ensino Médio e Técnico;Sistemas de Informação;Entre 18 e 21 anos;Sim;Laptop;Windows;Acer;Sim;Python;Adquirir conhecimento básico sobre ciência de dados e análise de dados.
Feminino;Pós-graduação;Administração ;Midia e Tecnologia;Acima de 59 anos;Sim;Laptop;Windows;Asus;Sim;Machine Learning, IA;Ampliar meus conhecimentos sobre base de dados para aplicar em minhas pesquisas acadêmicas
Feminino;Graduação;Ensino Médio;Sistemas de Informação;Entre 18 e 21 anos;Sim;Laptop;Windows;Acer;Sim;Python;Espero ao final do curso ter uma noção maior de coleta, analise e interpretação de dados, para assim aprender técnicas de algoritmos e estatística para extrair insights em diferentes situações 
Masculino;Graduação;Ensino Médio e Técnico;Sistemas de Informação;Entre 18 e 21 anos;Sim;Desktop, Laptop;Windows;Lenovo;Sim;Python;Pretendo aprender um pouco sobre teoria de Ciência de Dados e poder, ao final, aplicar isso na minha vida profissional 
Masculino;Outro;Ciência da Computação;Midia e Tecnologia;Entre 30 e 34 anos;Sim;Laptop;macOS;Apple;Sim;Python;Aprimorar conhecimentos em ciência de dados
Feminino;Outro;Direito;Midia e Tecnologia;Entre 40 e 44 anos;Sim;Laptop;Windows;Acer;Não;Nenhuma;Adquirir conhecimento
Feminino;Graduação;Ensino Médio;Sistemas de Informação;Entre 18 e 21 anos;Sim;Desktop, Laptop;Windows;Lenovo;Sim;Python;Aprender mais sobre Analise de dados para poder aplicar no meu dia a dia de trabalho e pesquisa
Feminino;Graduação;Ensino Médio;Sistemas de Informação;Entre 18 e 21 anos;Sim;Laptop;Windows;Dell;Sim;Python;Espero aprender abordagens práticas e teóricas em Ciência de Dados que possam expandir meu conhecimento e contribuir para minha formação acadêmica.
Masculino;Pós-graduação;Engenharia ;Midia e Tecnologia;Entre 25 e 29 anos;Sim;Laptop;Windows;Dell;Não;Nenhuma;"Minha expectativa para a disciplina de Ciência de Dados é adquirir habilidades práticas de análise e ""manipulação"" de dados, utilizando a programação em R como ferramenta principal. Espero aprofundar meu entendimento em como comprovar pesquisas e análises, além de desenvolver competências em visualização de dados, permitindo transformar dados em insights. "
Masculino;Graduação;Ensino Médio e Técnico em Desenvolvimento de Sistemas;Sistemas de Informação;Entre 18 e 21 anos;Sim;Desktop, Laptop;Windows;Lenovo;Sim;Python;Me aprofundar na ciência e análise de dados